Gen,Mean_DCT_Cx,Mean_DCT_Tx
ath-miR159a-000338,1.1133187508937528e-6,1.2200853253523625e-6
hsa-let-7a-000377,0.02104944728365736,0.033902136711153705
hsa-let-7b-002619,0.08558096605402969,0.14573832040885992
hsa-let-7c-000379,0.0047166737186266645,0.005820709994842646
hsa-let-7d-002283,0.008019462937024428,0.012269434263612317
hsa-let-7e-002406,0.123443909157043,0.17167788285990326
hsa-let-7f-000382,0.0014159571873952434,0.0030205357948056657
hsa-let-7g-002282,0.007807439858746376,0.007982498574303503
hsa-miR-1-002222,8.564286064416251e-6,6.161568796879913e-6
hsa-miR-100-000437,0.3915742448656143,0.43448748044557445
hsa-miR-101-002253,4.6602986949883526e-5,6.171893329356052e-5
hsa-miR-103-000439,0.0021056877802043098,0.003364204717038697
hsa-miR-105-002167,6.0644441481480745e-5,2.8899033248384537e-5
hsa-miR-106a-002169,0.058275612590732995,0.03869783067134294
hsa-miR-106b-000442,0.0026512121429021524,0.0023203793238965567
hsa-miR-107-000443,9.009824654832759e-5,1.4551556125332512e-4
hsa-miR-10a-000387,0.003021619369753731,0.004583025070249147
hsa-miR-10b-002218,0.00503967143450123,0.0021109010425934783
hsa-miR-122-002245,7.054721065362435e-5,1.4317381861455834e-5
hsa-miR-125a-3p-002199,1.4748551953666796e-4,1.0630269166441964e-4
hsa-miR-125a-5p-002198,0.014909420528417294,0.012559043065815895
hsa-miR-125b-000449,0.24689890583406762,0.21715381679607826
hsa-miR-126-002228,0.0022290278256427427,0.004281092065384511
hsa-miR-127-000452,0.014671768917032521,0.028845152663612126
hsa-miR-127-5p-002229,2.001403482987246e-6,4.145193068243609e-6
hsa-miR-128a-002216,2.328888088932734e-4,2.764702010023495e-4
hsa-miR-129-000590,8.713055790275966e-5,1.2200853253523625e-6
hsa-miR-130a-000454,0.0010209715078687955,0.002156914544116688
hsa-miR-130b-000456,0.0011839845266635154,0.001132400837406218
hsa-miR-132-000457,0.0031587250468431693,0.006170533599924275
hsa-miR-133a-002246,9.172216851238228e-5,1.1219534574411715e-4
hsa-miR-133b-002247,2.2806417743831057e-6,6.119193865173507e-6
hsa-miR-135a-000460,1.7679779789831276e-6,5.094298166769939e-6
hsa-miR-135b-002261,1.200043728315379e-4,6.12816086458577e-5
hsa-miR-136-000592,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-138-002284,0.019525908687616014,0.014514808229945936
hsa-miR-139-3p-002313,4.079706661605936e-4,1.2200853253523625e-6
hsa-miR-139-5p-002289,9.116367893839137e-4,6.812789045940081e-4
hsa-miR-140-3p-002234,4.6939883002447476e-4,4.679298459710663e-4
hsa-miR-141-000463,3.6213353831000863e-6,2.7053402816245048e-6
hsa-miR-142-3p-000464,7.15615216123076e-6,7.274462001572423e-6
hsa-miR-142-5p-002248,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-143-002249,0.008299544391516952,0.014521952668318135
hsa-miR-145-002278,0.11290871905294592,0.23788201305369427
hsa-miR-146a-000468,0.021871856458159842,0.028367114735856264
hsa-miR-146b-001097,0.002631937098336122,0.0022059198800429753
hsa-miR-146b-3p-002361,1.0854198935771354e-5,3.86573240391368e-6
hsa-miR-147-000469,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-147b-002262,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-148a-000470,3.5095293656026052e-6,1.9371641139646254e-5
hsa-miR-148b-000471,7.078915931756826e-4,0.0010096464896489422
hsa-miR-149-002255,0.004480454388663262,0.005963192383346873
hsa-miR-150-000473,3.214382315517914e-5,2.6197378470874507e-5
hsa-miR-152-000475,0.005046996849934611,0.008963831601539763
hsa-miR-154-000477,1.262725161513568e-5,4.270355666523707e-5
hsa-miR-155-002623,0.008818194867748102,0.0036962787993687525
hsa-miR-15a-000389,2.1177778577768678e-4,2.3532636054503857e-4
hsa-miR-15b-000390,0.0159358102450038,0.010705492251947722
hsa-miR-16-000391,0.039816724196551356,0.029212428231302805
hsa-miR-17-002308,0.06369866508974804,0.04012625030812263
hsa-miR-181a-000480,0.006118134720518653,0.009510845361899875
hsa-miR-181c-000482,1.566178990697932e-4,4.585829588752086e-4
hsa-miR-182-002334,1.957845598868214e-5,1.292732988653565e-5
hsa-miR-183-002269,1.2924939222277584e-5,9.32051546622669e-6
hsa-miR-184-000485,1.1088772552998143e-4,4.080094566626226e-4
hsa-miR-185-002271,2.977964530366688e-4,3.4576857702636423e-4
hsa-miR-186-002285,9.673608337331151e-4,0.002637622083684256
